year/_utc,image,name/_title,name,image/_source,image/_alt,year/_source,name/_text,name/_source,inducted_member
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Aretha_Franklin_on_January_20%2C_2009.jpg/75px-Aretha_Franklin_on_January_20%2C_2009.jpg,Aretha Franklin,https://en.wikipedia.org/wiki/Aretha_Franklin,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Aretha_Franklin_on_January_20%2C_2009.jpg/75px-Aretha_Franklin_on_January_20%2C_2009.jpg,"Franklin performing during the presidential inauguration of Barack Obama at Washington, D.C., January 20, 2009",1987,Aretha Franklin,/wiki/Aretha_Franklin,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Marvin_Gaye_%281973%29.png/75px-Marvin_Gaye_%281973%29.png,Marvin Gaye,https://en.wikipedia.org/wiki/Marvin_Gaye,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Marvin_Gaye_%281973%29.png/75px-Marvin_Gaye_%281973%29.png,Gaye in 1973,1987,Marvin Gaye,/wiki/Marvin_Gaye,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Bill_Haley_%281974%29.jpg/75px-Bill_Haley_%281974%29.jpg,Bill Haley,https://en.wikipedia.org/wiki/Bill_Haley,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Bill_Haley_%281974%29.jpg/75px-Bill_Haley_%281974%29.jpg,Haley in 1974,1987,Bill Haley,/wiki/Bill_Haley,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/B._B._King.jpg/75px-B._B._King.jpg,B.B. King,https://en.wikipedia.org/wiki/B.B._King,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/B._B._King.jpg/75px-B._B._King.jpg,King performing at the White House,1987,B.B. King,/wiki/B.B._King,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Clyde_McPhatter.png/75px-Clyde_McPhatter.png,Clyde McPhatter,https://en.wikipedia.org/wiki/Clyde_McPhatter,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Clyde_McPhatter.png/75px-Clyde_McPhatter.png,Clyde McPhatter.png,1987,Clyde McPhatter,/wiki/Clyde_McPhatter,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ricky_Nelson_free.jpg/75px-Ricky_Nelson_free.jpg,Ricky Nelson,https://en.wikipedia.org/wiki/Ricky_Nelson,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ricky_Nelson_free.jpg/75px-Ricky_Nelson_free.jpg,Ricky Nelson free.jpg,1987,Ricky Nelson,/wiki/Ricky_Nelson,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Roy_Orbison_1965.jpg/75px-Roy_Orbison_1965.jpg,Roy Orbison,https://en.wikipedia.org/wiki/Roy_Orbison,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Roy_Orbison_1965.jpg/75px-Roy_Orbison_1965.jpg,Orbison in 1965,1987,Roy Orbison,/wiki/Roy_Orbison,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Carlperkins_Sun_records.jpg/75px-Carlperkins_Sun_records.jpg,Carl Perkins,https://en.wikipedia.org/wiki/Carl_Perkins,//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Carlperkins_Sun_records.jpg/75px-Carlperkins_Sun_records.jpg,"Carl Perkins, c. 1955",1987,Carl Perkins,/wiki/Carl_Perkins,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/SmokeyRobinson2.jpg/75px-SmokeyRobinson2.jpg,Smokey Robinson,https://en.wikipedia.org/wiki/Smokey_Robinson,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/SmokeyRobinson2.jpg/75px-SmokeyRobinson2.jpg,"Robinson in concert at the Chumash Casino Resort in Santa Ynez, California, 2006",1987,Smokey Robinson,/wiki/Smokey_Robinson,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Big_Joe_Turner%2C_Hamburg_1974_%28Heinrich_Klaffs_Collection_86%29.jpg/75px-Big_Joe_Turner%2C_Hamburg_1974_%28Heinrich_Klaffs_Collection_86%29.jpg,Big Joe Turner,https://en.wikipedia.org/wiki/Big_Joe_Turner,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Big_Joe_Turner%2C_Hamburg_1974_%28Heinrich_Klaffs_Collection_86%29.jpg/75px-Big_Joe_Turner%2C_Hamburg_1974_%28Heinrich_Klaffs_Collection_86%29.jpg,"Big Joe Turner performing in Hamburg, Germany, 1974",1987,Big Joe Turner,/wiki/Big_Joe_Turner,
